KIC,d_est,d_lo,d_hi,E(B-V),A_r,A_J,A_K,r,J,K
7008143,47.93263222,47.83740812,48.02822942,0.00172827,0.00429131,0.00112338,0.00027825,15.563,11.615,10.808
7022137,114.2440323,113.6651029,114.8287833,0.00847191,0.02103576,0.00550674,0.00136398,15.865,12.487,11.644
7091150,124.1846239,122.8603674,125.537218,0.01440398,0.03576509,0.00936259,0.00231904,17.905,14.181,13.28
7102366,200.9206379,198.962013,202.9175065,0.01501378,0.03727921,0.00975896,0.00241722,16.926,13.654,12.952
7102500,152.6047767,151.6420238,153.579612,0.01411228,0.03504079,0.00917298,0.00227208,15.462,12.095,11.281
7177371,195.1531562,192.8579898,197.5026099,0.01685604,0.04185356,0.01095643,0.00271382,16.745,13.423,12.564
7185487,245.7815593,242.3079436,249.354382,0.01444223,0.03586005,0.00938745,0.0023252,17.211,13.742,12.882
7185789,110.9232633,110.2806668,111.5732575,0.00619304,0.01537733,0.00402548,0.00099708,16.482,13.041,12.233
7272205,166.4715288,165.0700836,167.8965428,0.02097422,0.05207899,0.01363324,0.00337685,16.42,13.144,12.266
7304449,134.3973579,133.6798175,135.1225042,0.0143301,0.03558163,0.00931456,0.00230715,16.157,12.99,12.198
7341653,19.16944339,19.15229782,19.18661914,0.00153882,0.0038209,0.00100024,0.00024775,13.789,9.78,8.922
7350067,127.5914728,126.9771839,128.2116274,0.01315868,0.032673,0.00855314,0.00211855,16.213,12.871,12.028
7352892,90.76865506,90.30969963,91.2322153,0.00762169,0.01892466,0.0049541,0.00122709,16.211,12.829,12.025
7500850,399.3629992,386.8879376,412.6538671,0.0243271,0.06040419,0.01581261,0.00391666,17.549,13.917,12.945
7505473,42.92646041,42.18021588,43.69909745,0.00216348,0.00537191,0.00140626,0.00034832,16.208,11.778,10.901
7505644,293.8218181,289.7362669,298.022116,0.02599188,0.06453784,0.01689472,0.00418469,16.528,13.326,12.455
7517730,33.97040208,33.89216648,34.04899326,0.00161249,0.00400382,0.00104812,0.00025961,17.22,12.384,11.545
7596910,78.05826408,77.71253358,78.40702932,0.00346094,0.00859352,0.00224961,0.00055721,14.659,11.156,10.43
7659103,93.77833008,93.40919838,94.15033852,0.01491696,0.03703882,0.00969603,0.00240163,15.997,12.65,11.833
7661403,154.5924882,153.2206778,155.9886385,0.01085216,0.02694591,0.0070539,0.0017472,16.941,13.275,12.419
7734382,155.5046803,153.3618861,157.7071016,0.0124991,0.03103526,0.00812441,0.00201236,17.508,14.061,13.215
7799844,103.435756,102.3518686,104.5424272,0.00747728,0.01856608,0.00486023,0.00120384,19.239,14.486,13.634
7809767,204.2636044,197.8076861,211.1471258,0.01313955,0.0326255,0.00854071,0.00211547,18.918,15.263,14.512
7849191,57.45481133,57.2907068,57.6198419,0.00300952,0.00747265,0.00195619,0.00048453,16.668,12.801,12.105
7903237,439.4870633,407.7165273,476.5323212,0.0607546,0.15085368,0.03949049,0.00978149,19.138,15.724,14.81
7938787,154.6234656,153.1826916,156.0911069,0.01113426,0.02764638,0.00723727,0.00179262,15.498,12.292,11.51
7939565,65.47246552,65.31906721,65.62657317,0.0019026,0.00472414,0.00123669,0.00030632,14.608,11.464,10.708
8036551,93.16359841,92.03024916,94.32469953,0.00725009,0.01800198,0.00471256,0.00116726,18.898,14.392,13.571
8040522,253.6386655,245.67681,262.1240808,0.04744979,0.11781783,0.03084236,0.00763942,18.93,15.198,14.32
8076831,48.59829892,48.50818675,48.68874054,0.00210658,0.00523064,0.00136928,0.00033916,14.496,11.102,10.378
8082302,157.3619385,156.220907,158.5194593,0.01101909,0.0273604,0.00716241,0.00177407,16.719,13.384,12.532
8095972,114.779104,114.2350987,115.3282224,0.00608839,0.01511747,0.00395745,0.00098023,16.117,12.871,12.073
8167877,323.9824056,313.1800517,335.5423137,0.03338413,0.08289278,0.02169968,0.00537484,18.241,15.006,14.204
8190958,47.98341589,47.89359774,48.07356556,0.00307617,0.00763812,0.00199951,0.00049526,14.255,10.785,9.907
8213019,220.988843,218.4685624,223.5668877,0.01804247,0.04479945,0.0117276,0.00290484,16.268,13.029,12.153
8233951,102.9014149,102.3994885,103.4081977,0.00733358,0.01820927,0.00476682,0.00118071,16.183,12.824,12.057
8236114,140.8748914,139.0049157,142.7949424,0.01903786,0.04727101,0.01237461,0.0030651,18.155,14.833,14.149
8278279,183.5219361,179.9109559,187.2781377,0.01170947,0.02907461,0.00761116,0.00188522,17.293,13.371,12.419
8284382,136.9371999,135.8341488,138.0579878,0.01058482,0.02628212,0.00688014,0.00170416,17.294,13.635,12.801
8302467,181.2163888,179.8911389,182.5609566,0.02864278,0.07112004,0.01861781,0.00461149,16.303,13.077,12.233
8331947,137.3756434,136.2791942,138.4895595,0.01201368,0.02982996,0.00780889,0.0019342,17.022,13.696,12.898
8332355,52.66734926,52.53378232,52.80158499,0.00255425,0.0063422,0.00166026,0.00041123,15.598,11.843,11.006
8344757,126.8576386,125.9364488,127.7921605,0.00812063,0.02016354,0.00527841,0.00130742,17.63,13.985,13.136
8387281,54.84143243,54.71915315,54.96424969,0.00777045,0.01929403,0.00505079,0.00125104,14.313,11.018,10.166
8423202,83.11140532,82.35675491,83.87976246,0.00530845,0.01318089,0.00345049,0.00085466,18.32,14.263,13.328
8428178,185.0328748,177.7231592,192.9581671,0.02256463,0.05602797,0.01466701,0.0036329,16.493,13.221,12.394
8431077,121.8832723,120.7650337,123.0220372,0.01077508,0.02675454,0.0070038,0.00173479,17.291,13.824,13.138
8452193,132.652098,131.7961318,133.5190546,0.05405146,0.13420978,0.03513345,0.00870229,16.357,13.146,12.329
8482923,72.99699875,72.6514502,73.34579101,0.00518816,0.0128822,0.0033723,0.00083529,17.556,13.316,12.442
8493421,44.74067718,44.60078433,44.88143465,0.00212373,0.00527322,0.00138042,0.00034192,17.312,12.605,11.683
8496410,138.1024925,137.2156323,139.0006845,0.01638785,0.04069104,0.0106521,0.00263844,16.893,13.241,12.463
8507979,52.761243,52.66565359,52.85717385,0.00312742,0.00776539,0.00203282,0.00050352,13.883,10.637,9.819
8548052,190.7218193,188.6635934,192.8246295,0.01402652,0.03482784,0.00911723,0.00225827,17.075,13.788,12.955
8556831,154.9520141,153.6727872,156.2523311,0.01991827,0.04945707,0.01294688,0.00320684,15.769,12.42,11.598
8561063,40.05954359,39.99483264,40.12446056,0.00182217,0.00452444,0.00118441,0.00029337,15.909,12.177,11.465
8564198,69.17431355,68.96907818,69.38075221,0.00443342,0.01100817,0.00288172,0.00071378,16.607,12.667,11.869
8611599,153.2211456,150.2314625,156.330024,0.01224827,0.03041246,0.00796138,0.00197197,18.727,15.074,14.196
8611876,103.0408807,102.6524804,103.4321786,0.00599133,0.01487648,0.00389437,0.0009646,15.608,12.349,11.525
